id,name,short,desc,cost,isBonus,isGolden,spritePath,effectPlugin,extra1,extra2,source,tags,spriteAuthor
#dx3_artifact_of_evolution,Evolution,Hostile ships scale with time,Every %s seconds there is a %s chance for each enemy ship to gain random increased performance by %s.,7,FALSE,FALSE,graphics/urb/icons/ungp/milestones/artifact_of_evolution.png,data.scripts.ungprules.impl.combat.UNGPDX_ArtifactOfEvolution,,,"[URB] - ""The clock is ticking.""",,DemonX3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Positive Rules,,,,,,,,,,,,,
# Character,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Combat,,,,,,,,,,,,,
dx3_mental_warfare,Mental Warfare,Enemy ships lose PPT and CR faster,Increases enemy PPT and CR degradation rate by %s.,-2,TRUE,FALSE,graphics/urb/icons/ungp/mental_warfare.png,data.scripts.ungprules.impl.combat.UNGPDX_MentalWarfare,,,"[URB] - ""Be smart, not strong.""",,DemonX3
dx3_full_throttle,Full Throttle,Full-speed ships weight more,Ships at and above %s speed have %s more mass without penalties to maneurability.,-1,TRUE,FALSE,graphics/urb/icons/ungp/full_throttle.png,data.scripts.ungprules.impl.combat.UNGPDX_FullThrottle,,,"[URB] - ""Ramming speed!""",,DemonX3
#dx3_pack_alpha,Pack Alpha,Personal wolf pack,"For destroyer flagship, every frigate assigned to escort increases flagship top speed by %s, system cooldown and recharge rates by %s and damage by %s, capping out at %s escorts. Frigate flagship benefits from %s this effect.",-2,TRUE,FALSE,graphics/urb/icons/ungp/placeholder.png,data.scripts.ungprules.impl.combat.UNGPDX_PackAlpha,,,"[URB] - ""Big Bad Wolf.""",,DemonX3
,,,,,,,,,,,,,
# Economy,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Fleet,,,,,,,,,,,,,
dx3_fox,Fox,Stay still to hide from danger,"After being still for %s days, decrease ships' sensor profile and increase sensor range by a factor of %s.",-2,TRUE,FALSE,graphics/urb/icons/ungp/fox.png,data.scripts.ungprules.impl.fleet.UNGPDX_Fox,HIDING...,,"[URB] - ""They were sour anyway.""",,DemonX3
#dx3_warhunger,Battle Trance,"War takes no rest, keep fighting.","Upon emerging victorious from battle, for %s days increase fleet repair and CR recovery speed by %s and decrease CR cost per deployment by %s. Subsequent victories refresh duration and stack effect. This effect caps at %s stacks. Defeat nulls all stacks.",-4,TRUE,FALSE,graphics/urb/icons/ungp/placeholder.png,,Triumph of your battles will last for another %s days.,"Triumph of your battles has subsided, and the crew morale returned to normal.","[URB] - """"",,DemonX3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Member,,,,,,,,,,,,,
dx3_wish_upon_a_star,Wish Upon a Star,Improved performance around stars and black holes,"While in star corona or event horizon, increase maneurability by %s, top speed by %s (based on hull size) and decrease terrain CR degradation by %s.",-2,TRUE,FALSE,graphics/urb/icons/ungp/wish_upon_a_star.png,data.scripts.ungprules.impl.member.UNGPDX_WishUponAStar,,,"[URB] - ""I wish my fleet didn't implode the second battle in corona starts...""",,DemonX3
dx3_hyperspatial_drifter,Hyperspace Drifter,Increased burn level,Increase player fleet's base burn level by %s.,-1,TRUE,FALSE,graphics/urb/icons/ungp/hyperspatial_drifter.png,data.scripts.ungprules.impl.member.UNGPDX_HyperspatialDrifter,,,"[URB] - ""Last ride.""",,DemonX3
dx3_mss_garuda,MSS Garuda,Increase the performance of Flagship: Conquest,"When the flagship is a Conquest series ship, the ship gains %s system CDR, active venting rate and %s weapon range, %s max combat readiness.",-4,TRUE,TRUE,graphics/urb/icons/ungp/mss_garuda.png,data.scripts.ungprules.impl.member.UNGPDX_MssGaruda,Conquests in game:,,"[URB] - ""We are at your command, Captain.""",,DemonX3
,,,,,,,,,,,,,
# Other,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Milestone,,,,,,,,,,,,,
dx3_the_unyielding,The Unyielding,Lone Admiral's last stand,"Flagship's flux grid is improved by %s, it's hull regenerates up to %s by %s and it's PPT does not degrade so long as no other player ships are present. Switching command from one ship to another disables this effect for %s seconds.",-6,TRUE,TRUE,graphics/urb/icons/ungp/milestones/the_unyielding.png,data.scripts.ungprules.impl.combat.UNGPDX_TheUnyielding,,,"[URB] - ""This vessel will not move an inch out of this combat space...""",milestone,DemonX3
dx3_criminal_imperium,Criminal Imperium,Monopoly,Player colonies with Free Port status decrease access of hostile colonies in the %s range by %s.,-4,TRUE,FALSE,graphics/urb/icons/ungp/milestones/criminal_imperium.png,data.scripts.ungprules.impl.economy.UNGPDX_CriminalImperium,,,"[URB] - ""Competition is a joke.""",milestone,DemonX3
dx3_weeping_fungus,Weeping Fungus,Lower maintenance cost while maintaining course,"After maintaining velocity over %s burn for %s day(s), ships' repair speed +%s, maintenance -%s",-1,TRUE,FALSE,graphics/urb/icons/ungp/milestones/weeping_fungus.png,data.scripts.ungprules.impl.fleet.UNGPDX_WeepingFungus,QUICKFITTING NOW...,,"[URB] - ""We are the mucus.""",milestone,DemonX3
dx3_picture_perfect,Picture Perfect,Increased max S-Mods,Increase maximum S-Mods per ship by %s.,-4,TRUE,FALSE,graphics/urb/icons/ungp/milestones/picture_perfect.png,data.scripts.ungprules.impl.member.UNGPDX_PicturePerfect,,,"[URB] - ""Say cheese, badass!""",milestone,DemonX3
dx3_doomslayer,Doomslayer,"Flagship instills fear, especially into phase demons",Enemy ships within %s from flagship lose %s of their maneurability and %s of flux dissipation. Enemy phase ships have their phase upkeep increased by a factor of %s and lose additional %s maneurability and %s flux dissipation,-3,TRUE,FALSE,graphics/urb/icons/ungp/milestones/doomslayer.png,data.scripts.ungprules.impl.combat.UNGPDX_Doomslayer,,,"[URB] - ""The only thing they fear is You.""",milestone,DemonX3
dx3_metalize,Metalize,"Take pride in D-Mods, gaining benefits from them","Every D-Mod on a given ship increases ship's terrain resistance by %s, calculation armor by %s, weapon repair speed by %s, weapon durability by %s, engine repair speed by %s, engine durability by %s, decreases weapon flux costs by %s and decreases effect of all D-Mods by %s.",-3,TRUE,FALSE,graphics/urb/icons/ungp/milestones/metalize.png,data.scripts.ungprules.impl.member.UNGPDX_Metalize,,,"[URB] - ""This is nothing compared to my old scars!""",milestone,DemonX3
,,,,,,,,,,,,,
